tweet_id,user_text,historical_brand_response,label_intent,label_action,label_reason
10112,The App Store is showing different prices than what I was charged. Need help today.,"Family Sharing issues can be tricky! Check our complete setup guide here: https://support.apple.com/en-us/HT201088. If the issue persists, DM us with your Apple ID email (never your password).",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10184,How do I take a screenshot on an iPhone 14 Pro? Please help ASAP.,You can enable Dark Mode quickly! On Mac: Apple Menu → System Settings → Appearance → Dark. On iPhone: Settings → Display & Brightness → Dark. Let us know if you need more help!,general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10113,I want to downgrade my iCloud plan but can't find the option in settings. Need help today.,We're really sorry about the double charge! Our billing team will be able to issue a refund. Reach them through this secure form: https://support.apple.com/contact — select Billing.,account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10100,My Apple ID is locked and I've tried everything to reset the password. Need help today.,"Family Sharing issues can be tricky! Check our complete setup guide here: https://support.apple.com/en-us/HT201088. If the issue persists, DM us with your Apple ID email (never your password).",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10186,What's the difference between iCloud 50GB and iCloud+? Need help today.,"Great question! Yes, the Apple Pencil 2nd Gen is compatible with iPad Air 5th gen. You can find the full compatibility chart here: https://support.apple.com/en-us/HT211829",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10081,My contacts app is showing duplicate contacts after iCloud sync. Very frustrated.,Thanks for letting us know — this helps us improve! Please report the bug directly here: https://feedbackassistant.apple.com so our engineers can investigate your specific case.,software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10099,Why was I charged $9.99 for Apple Music? I cancelled it three months ago. Very frustrated.,"To protect your account, please DM us and we'll send you a secure, verified link to reset your Apple ID credentials. Never reset through links you receive via email.",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10016,I dropped my phone and the screen is completely shattered. What are my options? ,So sorry to hear this! This may be covered under our Limited Warranty or AppleCare+. Check your coverage here → https://checkcoverage.apple.com before booking a repair.,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10168,Is the new Apple Pencil 2nd gen compatible with the iPad Air 5th gen?,"Great question! Yes, the Apple Pencil 2nd Gen is compatible with iPad Air 5th gen. You can find the full compatibility chart here: https://support.apple.com/en-us/HT211829",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10011,My iPhone overheats constantly even when not doing anything intensive.,"We hear you! Let's get this resolved. Please DM us with the make, model, iOS version, and when the issue started. Our team will follow up promptly.",device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10159,Tracking says delivered but I never received my iPhone package. Very frustrated.,We'd like to look into this for you. DM us your order number and the email address used at checkout and we'll check with our fulfillment team on the exact status.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10006,My Apple Watch screen cracked from a minor fall. Is it covered under warranty?,We definitely want to get this sorted for you! Book a free Genius Bar appointment here → https://geni.us/apple-genius-bar and bring your device in. They'll run a full diagnostic.,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10264,My iPad was stolen. Can I remotely wipe it and recover my data?,"Please don't panic! If you use iCloud Photos, deleted photos go to the 'Recently Deleted' album for 30 days. Open Photos → Albums → Recently Deleted. Recover them right away!",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10166,Can I pick up my online order from an Apple Store instead of home delivery? Please help ASAP.,"To change a shipping address, please call Apple Support immediately at 1-800-APL-CARE (1-800-275-2273) — address changes can sometimes be done if the order hasn't been packed yet.",shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10218,The Handoff feature between my Mac and iPhone has stopped working.,AirDrop can be picky! Make sure both devices are signed in to the same Apple ID and that both have Bluetooth and WiFi enabled. Our guide: https://support.apple.com/en-us/HT204144,connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10122,I can't sign in to my Apple ID — says my account has been disabled. This is urgent.,Let's sort your subscription out. You can review and cancel all your active subscriptions in Settings → [Your Name] → Subscriptions. DM us if you need further help!,account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10051,My contacts app is showing duplicate contacts after iCloud sync.,Thanks for letting us know — this helps us improve! Please report the bug directly here: https://feedbackassistant.apple.com so our engineers can investigate your specific case.,software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10221,FaceTime keeps saying 'Waiting for Activation' for weeks now.,Slow 5G can be caused by network congestion or carrier settings. Check our 5G FAQ here: https://support.apple.com/en-us/HT211299. Also consider contacting your carrier to verify 5G is active on your plan.,connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10116,I need a refund for an app my 7-year-old accidentally purchased. Very frustrated.,Let's sort your subscription out. You can review and cancel all your active subscriptions in Settings → [Your Name] → Subscriptions. DM us if you need further help!,account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10283,My iPhone crashed and now won't restore. I lost all my contacts. Please help ASAP.,"For accidental deletions, check iCloud.com → Photos → Recently Deleted on any browser. You may be able to recover them there within 30 days of deletion.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10065,Siri isn't responding to Hey Siri even with the feature turned on. ,That sounds like a known bug in a recent update. We recommend backing up your device first (Settings → [Your Name] → iCloud → iCloud Backup) then doing a clean install.,software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10058,The Weather app is just showing a blank white screen. Very annoying. This is urgent.,"We want to help you get back on track. Send us a DM with the exact error message or a screenshot, along with your iOS version, and our support team will guide you through it.",software_bug,Escalate,Urgent software issue flagged — potential data or productivity impact. Routed to a specialist.
10279,My iPad was stolen. Can I remotely wipe it and recover my data? Please help ASAP.,"For stolen devices, immediately log in to icloud.com/find and use 'Erase iPhone' to protect your data. Then file a police report. DM us for next steps to secure your Apple ID.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10132,I received the wrong color iPhone — I ordered Space Black but got Silver.,We know how excited you are for your new device! Track your real-time order status here → https://secure.store.apple.com/shop/order/list. Orders can sometimes take 24h to update.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10070,Do Not Disturb is not working — calls are still coming through. Very frustrated.,"We want to help you get back on track. Send us a DM with the exact error message or a screenshot, along with your iOS version, and our support team will guide you through it.",software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10105,My Apple One subscription renewed but I never used it. Can I get a refund? ,"To protect your account, please DM us and we'll send you a secure, verified link to reset your Apple ID credentials. Never reset through links you receive via email.",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10059,My alarm didn't go off this morning! This iOS bug could cost me my job. This is urgent.,That sounds like a known bug in a recent update. We recommend backing up your device first (Settings → [Your Name] → iCloud → iCloud Backup) then doing a clean install.,software_bug,Escalate,Urgent software issue flagged — potential data or productivity impact. Routed to a specialist.
10041,My iPhone overheats constantly even when not doing anything intensive. Please help ASAP.,"We hear you! Let's get this resolved. Please DM us with the make, model, iOS version, and when the issue started. Our team will follow up promptly.",device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10004,MacBook Pro won't turn on even when plugged in. Dead on arrival?,So sorry to hear this! This may be covered under our Limited Warranty or AppleCare+. Check your coverage here → https://checkcoverage.apple.com before booking a repair.,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10194,Can I use Apple Pay on my Apple Watch without my iPhone nearby? Please help ASAP.,"Absolutely! You can use your Mac's USB-C charger on your iPad Pro safely. For best charging speed, use the 67W or higher adapter. More info: https://support.apple.com/en-us/HT201667",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10170,Can I use my MacBook charger for my iPad Pro? Will it be safe?,"Absolutely! You can use your Mac's USB-C charger on your iPad Pro safely. For best charging speed, use the 67W or higher adapter. More info: https://support.apple.com/en-us/HT201667",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10213,AirDrop stopped working between my iPhone and MacBook suddenly.,"For persistent connectivity issues, try Settings → General → Transfer or Reset iPhone → Reset → Reset All Settings. Your data is safe but preferences will reset. Let us know if it helps!",connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10237,My AirPlay keeps dropping connection midstream to my Apple TV. This is urgent.,"For persistent connectivity issues, try Settings → General → Transfer or Reset iPhone → Reset → Reset All Settings. Your data is safe but preferences will reset. Let us know if it helps!",connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10265,My photos weren't syncing to iCloud and now they're lost after a reset.,"For accidental deletions, check iCloud.com → Photos → Recently Deleted on any browser. You may be able to recover them there within 30 days of deletion.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10062,The App Store is stuck loading and won't download any apps. Please help ASAP.,We've heard of this issue and our team is actively working on it. Check https://www.apple.com/support/systemstatus/ for any known service disruptions in the meantime.,software_bug,Escalate,Urgent software issue flagged — potential data or productivity impact. Routed to a specialist.
10281,Is there any way to recover data if Find My shows the device as offline? Very frustrated.,Notes can be recovered if iCloud Sync is on. Log in to icloud.com and check the Notes app — they might be there. Also check the 'Recently Deleted' folder within Notes app itself.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10256,My notes app is empty after I switched to a new iPhone. They're all gone.,"Your Health data is tied to your Apple ID. If you signed in with the same ID on the new device, it should have synced automatically. Check Settings → [Name] → iCloud → Health is toggled ON.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10182,Is AppleCare+ worth it for a new MacBook?,"Absolutely! You can use your Mac's USB-C charger on your iPad Pro safely. For best charging speed, use the 67W or higher adapter. More info: https://support.apple.com/en-us/HT201667",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10015,"My iPhone battery is draining so fast since yesterday, barely lasts 4 hours. Very frustrated.",Battery health can degrade for a few reasons. Head to Settings → Battery → Battery Health & Charging to check your status. DM us the percentage and we'll advise next steps!,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10258,My iCloud backup failed silently and now my new phone has no data.,"Please don't panic! If you use iCloud Photos, deleted photos go to the 'Recently Deleted' album for 30 days. Open Photos → Albums → Recently Deleted. Recover them right away!",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10086,I need a refund for an app my 7-year-old accidentally purchased.,Let's sort your subscription out. You can review and cancel all your active subscriptions in Settings → [Your Name] → Subscriptions. DM us if you need further help!,account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10262,My Safari bookmarks all disappeared after a browser crash.,"Your Health data is tied to your Apple ID. If you signed in with the same ID on the new device, it should have synced automatically. Check Settings → [Name] → iCloud → Health is toggled ON.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10075,Safari keeps crashing immediately when I open a new tab. Please help ASAP.,Thanks for letting us know — this helps us improve! Please report the bug directly here: https://feedbackassistant.apple.com so our engineers can investigate your specific case.,software_bug,Escalate,Urgent software issue flagged — potential data or productivity impact. Routed to a specialist.
10212,My Mac won't connect to my iPhone's Hotspot even though it used to work.,AirDrop can be picky! Make sure both devices are signed in to the same Apple ID and that both have Bluetooth and WiFi enabled. Our guide: https://support.apple.com/en-us/HT204144,connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10255,My Mac crashed and I haven't backed up in months. Is data recovery possible?,"For stolen devices, immediately log in to icloud.com/find and use 'Erase iPhone' to protect your data. Then file a police report. DM us for next steps to secure your Apple ID.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10169,How do I take a screenshot on an iPhone 14 Pro?,We have a detailed step-by-step guide for that! Check out this official support article: https://support.apple.com/en-us/HT200289 — it covers all iPhone models.,general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10145,How long does standard shipping usually take for Apple Watch orders? Please help ASAP.,Shipping delays can happen due to carrier issues. Please check the tracking link in your shipment confirmation email for the latest status from the carrier directly.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10235,iMessage is only sending as SMS even though both parties have iPhones. Need help today.,"Bluetooth issues after updates are sometimes resolved by toggling it off and on in Settings, then restarting. If Bluetooth is missing entirely, a carrier settings update may help — Settings → General → About.",connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10001,I dropped my phone and the screen is completely shattered. What are my options?,"Oh no, that sounds frustrating! Our repair team can help. Check your warranty coverage and start a repair request at https://support.apple.com/repair — it only takes a few minutes.",device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10042,"Ever since the iOS 17 update, my phone keeps freezing every hour.","Let's get this fixed! Try a force restart first — here's how based on your model: https://support.apple.com/guide/iphone/force-restart-iphone-iph8903c3ee6/ios. If it persists, DM us!",software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10287,I factory reset my iPad accidentally and lost all my work documents. Very frustrated.,Notes can be recovered if iCloud Sync is on. Log in to icloud.com and check the Notes app — they might be there. Also check the 'Recently Deleted' folder within Notes app itself.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10102,iCloud says my storage is full but I just deleted 50GB of photos. Need help today.,"We understand billing concerns are stressful. To request a refund for any app or subscription, please use our official refund portal: https://reportaproblem.apple.com — it's quick and easy.",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10064,iMessage isn't delivering messages to Android users anymore. ,"We want to help you get back on track. Send us a DM with the exact error message or a screenshot, along with your iOS version, and our support team will guide you through it.",software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10024,Touch ID stopped working on my iPad after dropping it. Need help today.,We definitely want to get this sorted for you! Book a free Genius Bar appointment here → https://geni.us/apple-genius-bar and bring your device in. They'll run a full diagnostic.,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10053,Photos app keeps crashing when I try to open my library.,That sounds like a known bug in a recent update. We recommend backing up your device first (Settings → [Your Name] → iCloud → iCloud Backup) then doing a clean install.,software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10157,My order was supposed to arrive today but it now says delayed. Very frustrated.,Shipping delays can happen due to carrier issues. Please check the tracking link in your shipment confirmation email for the latest status from the carrier directly.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10129,Tracking says delivered but I never received my iPhone package.,We'd like to look into this for you. DM us your order number and the email address used at checkout and we'll check with our fulfillment team on the exact status.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10066,My contacts app is showing duplicate contacts after iCloud sync. ,"Let's get this fixed! Try a force restart first — here's how based on your model: https://support.apple.com/guide/iphone/force-restart-iphone-iph8903c3ee6/ios. If it persists, DM us!",software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10150,The estimated delivery date keeps changing. Is there an issue with my order? Please help ASAP.,We know how excited you are for your new device! Track your real-time order status here → https://secure.store.apple.com/shop/order/list. Orders can sometimes take 24h to update.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10034,MacBook Pro won't turn on even when plugged in. Dead on arrival? Need help today.,So sorry to hear this! This may be covered under our Limited Warranty or AppleCare+. Check your coverage here → https://checkcoverage.apple.com before booking a repair.,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10252,I accidentally deleted all my photos and need to recover them urgently.,"Please don't panic! If you use iCloud Photos, deleted photos go to the 'Recently Deleted' album for 30 days. Open Photos → Albums → Recently Deleted. Recover them right away!",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10293,All app data was wiped when I signed out of my Apple ID. Please help ASAP.,Notes can be recovered if iCloud Sync is on. Log in to icloud.com and check the Notes app — they might be there. Also check the 'Recently Deleted' folder within Notes app itself.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10037,The speaker on my iPhone is muffled and barely audible. Please help ASAP.,"Oh no, that sounds frustrating! Our repair team can help. Check your warranty coverage and start a repair request at https://support.apple.com/repair — it only takes a few minutes.",device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10162,I received the wrong color iPhone — I ordered Space Black but got Silver. This is urgent.,We know how excited you are for your new device! Track your real-time order status here → https://secure.store.apple.com/shop/order/list. Orders can sometimes take 24h to update.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10013,My iPad screen has dead pixels after a firmware update.,"Oh no, that sounds frustrating! Our repair team can help. Check your warranty coverage and start a repair request at https://support.apple.com/repair — it only takes a few minutes.",device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10124,I was charged for an app subscription I thought I cancelled in Settings. ,"Family Sharing issues can be tricky! Check our complete setup guide here: https://support.apple.com/en-us/HT201088. If the issue persists, DM us with your Apple ID email (never your password).",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10260,My Health app data is missing after I switched Apple IDs.,I'm so sorry to hear that. DM us your Apple ID email and we'll check if a recent iCloud backup exists that could be restored. Let's investigate all options before giving up.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10176,Can I trade in my old iPhone 12 towards a new iPhone 15?,"Absolutely! You can use your Mac's USB-C charger on your iPad Pro safely. For best charging speed, use the 67W or higher adapter. More info: https://support.apple.com/en-us/HT201667",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10138,The courier marked my package as undeliverable even though I was home all day.,We know how excited you are for your new device! Track your real-time order status here → https://secure.store.apple.com/shop/order/list. Orders can sometimes take 24h to update.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10290,My Health app data is missing after I switched Apple IDs. Please help ASAP.,I'm so sorry to hear that. DM us your Apple ID email and we'll check if a recent iCloud backup exists that could be restored. Let's investigate all options before giving up.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10045,Safari keeps crashing immediately when I open a new tab.,Thanks for letting us know — this helps us improve! Please report the bug directly here: https://feedbackassistant.apple.com so our engineers can investigate your specific case.,software_bug,Escalate,Urgent software issue flagged — potential data or productivity impact. Routed to a specialist.
10028,My iPad screen has dead pixels after a firmware update. This is urgent.,So sorry to hear this! This may be covered under our Limited Warranty or AppleCare+. Check your coverage here → https://checkcoverage.apple.com before booking a repair.,device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10123,The family sharing setup is not working. Members can't access shared purchases. Please help ASAP.,"To protect your account, please DM us and we'll send you a secure, verified link to reset your Apple ID credentials. Never reset through links you receive via email.",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10175,How many devices can I use with a single Apple Music family plan?,We have a detailed step-by-step guide for that! Check out this official support article: https://support.apple.com/en-us/HT200289 — it covers all iPhone models.,general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10056,My iPhone's autocorrect is replacing correct words with nonsense.,We've heard of this issue and our team is actively working on it. Check https://www.apple.com/support/systemstatus/ for any known service disruptions in the meantime.,software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10147,I received the wrong color iPhone — I ordered Space Black but got Silver. This is urgent.,We'd like to look into this for you. DM us your order number and the email address used at checkout and we'll check with our fulfillment team on the exact status.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10285,My Mac crashed and I haven't backed up in months. Is data recovery possible? ,"For stolen devices, immediately log in to icloud.com/find and use 'Erase iPhone' to protect your data. Then file a police report. DM us for next steps to secure your Apple ID.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10210,My iPhone can see WiFi networks but fails to connect to any of them.,Let's try a quick network reset. Go to Settings → General → Transfer or Reset iPhone → Reset → Reset Network Settings. Note: this clears saved WiFi passwords. DM us if that doesn't fix it!,connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
